lang,proc,op,median
julia,1,write,0.00102552
julia,2,write,0.0010442185
julia,4,write,0.0012210945
julia,8,write,0.001252544
julia,16,write,0.0016565835
julia,1,reads,0.001197662
julia,2,reads,0.001214938
julia,4,reads,0.0015576665
julia,8,reads,0.001559549
julia,16,reads,0.001876863
julia,1,flops,0.0014797965
julia,2,flops,0.001486438
julia,4,flops,0.0019048225
julia,8,flops,0.0019051115
julia,16,flops,0.001916693
julia,1,comms,0.291016444
julia,2,comms,0.651722
julia,4,comms,1.4013335985
julia,8,comms,1.5901823823272228e9
julia,16,comms,1.5901823918911288e9
CPP,1,write,0.0003994
CPP,2,write,0.000414736
CPP,4,write,0.0004375665
CPP,8,write,0.0005665815
CPP,16,write,0.0006441185
CPP,1,reads,0.000166804
CPP,2,reads,0.000166778
CPP,4,reads,0.000185297
CPP,8,reads,0.000238273
CPP,16,reads,0.000238348
CPP,1,flops,0.0013334265
CPP,2,flops,0.0013448655
CPP,4,flops,0.001481538
CPP,8,flops,0.0019049545
CPP,16,flops,0.0019098585
CPP,1,comms,0.010924141
CPP,2,comms,0.0101882895
CPP,4,comms,0.0130884225
CPP,8,comms,0.0114877975
CPP,16,comms,0.0193752955
